"","Gene","Quiescence_avg_log2FC","Quiescence_Up_percent","Quiescence_Down_percent","Quiescence_wilcox","Quiescence_wilcox.adj","Type","Rank"
"GDF15","GDF15",0.742486216477437,0.9,0.1,0.0001678466796875,0.0264783073874081,"Up",13417
"FAM46A","FAM46A",0.435670556601517,0.9,0.1,0.00101661682128906,0.050675892032212,"None",13416
"PHLDA2","PHLDA2",0.421831975670111,0.9,0.1,0.000261306762695312,0.0299475417177901,"Up",13415
"ASS1","ASS1",0.413270531283492,0.8,0.2,0.00638961791992188,0.107771555582682,"None",13414
"LMO7","LMO7",0.398954947385047,0.85,0.15,4.76837158203125e-05,0.018639871629618,"Up",13413
"PIM1","PIM1",0.391976282843915,0.9,0.1,2.6702880859375e-05,0.0170504252115885,"Up",13412
"FTL","FTL",0.385459948833439,0.95,0.05,8.20159912109375e-05,0.018639871629618,"Up",13411
"LCN2","LCN2",0.361095244029497,0.6,0.4,0.142906188964844,0.443879797968402,"None",13410
"WFDC2","WFDC2",0.360461739603015,0.6,0.4,0.0239505767822266,0.191733303924105,"None",13409
"ZBTB43","ZBTB43",0.353132519759342,0.9,0.1,0.000394821166992188,0.0348299804486726,"Up",13408
"KLF10","KLF10",0.348856456860138,0.8,0.2,0.000322341918945312,0.032744566599528,"Up",13407
"UGCG","UGCG",0.346927992961006,0.8,0.2,0.00315284729003906,0.0790215501161379,"None",13406
"PDK4","PDK4",0.346736696171091,0.8,0.2,0.00232505798339844,0.0686711508797129,"None",13405
"SH3BGRL3","SH3BGRL3",0.340964826700534,0.8,0.2,0.00271224975585938,0.0728697991183494,"None",13404
"SOX4","SOX4",0.337784462048696,0.7,0.3,0.0136165618896484,0.150896263122559,"None",13403
"S100P","S100P",0.333783287591231,0.9,0.1,0.000133514404296875,0.0232505798339844,"Up",13402
"IL32","IL32",0.32888691304465,0.75,0.25,3.62396240234375e-05,0.0179976710566768,"Up",13401
"HERPUD1","HERPUD1",0.327882008474018,0.9,0.1,8.20159912109375e-05,0.018639871629618,"Up",13400
"FAM102A","FAM102A",0.32763289750061,0.7,0.3,0.00729560852050781,0.113884533936542,"None",13399
"CST3","CST3",0.324466405899164,0.85,0.15,0.000394821166992188,0.0348299804486726,"Up",13398
"SPINK1","SPINK1",0.323039634478716,0.8,0.2,0.0192337036132812,0.17461390098205,"None",13397
"SERTAD2","SERTAD2",0.322600349750064,0.9,0.1,5.7220458984375e-06,0.00983678377591647,"Up",13396
"MAP1LC3B","MAP1LC3B",0.318140013269213,0.8,0.2,2.6702880859375e-05,0.0170504252115885,"Up",13395
"TFF3","TFF3",0.317502983555717,0.65,0.35,0.348810195922852,0.65378751986714,"None",13394
"KRT20","KRT20",0.315443172431245,0.8,0.1,0.000680467334440235,0.043326765434927,"Up",13393
"GAS5","GAS5",0.314960044105854,0.9,0.1,0.00271224975585938,0.0728697991183494,"None",13392
"TES","TES",0.311361580116625,0.95,0.05,1.9073486328125e-06,0.00983678377591647,"Up",13391
"RAB11FIP1","RAB11FIP1",0.309278951416092,0.9,0.1,0.000394821166992188,0.0348299804486726,"Up",13390
"FBXO32","FBXO32",0.303568011509765,0.85,0.15,0.000261306762695312,0.0299475417177901,"Up",13389
"HES1","HES1",0.300508135665046,0.6,0.4,0.0896949768066406,0.356996124666145,"None",13388
"CTD-2319I12.1","CTD-2319I12.1",0.299745257298699,0.9,0.1,0.000394821166992188,0.0348299804486726,"Up",13387
"MSMB","MSMB",0.298204917558083,0.75,0.25,0.0362339019775391,0.23397452354078,"None",13386
"TSC22D1","TSC22D1",0.296814751186913,0.8,0.2,0.000482559204101562,0.0365572676146771,"Up",13385
"PARD6B","PARD6B",0.295643870945554,0.9,0.1,0.000394821166992188,0.0348299804486726,"Up",13384
"YOD1","YOD1",0.29505100895046,0.75,0.25,0.00638961791992188,0.107771555582682,"None",13383
"CDKN1A","CDKN1A",0.294614214359748,0.75,0.25,0.000482559204101562,0.0365572676146771,"Up",13382
"RAP2B","RAP2B",0.291571427248711,0.75,0.25,0.00943565368652344,0.126989047670221,"None",13381
"FRMD4B","FRMD4B",0.291427060499114,0.85,0.15,0.00315284729003906,0.0790215501161379,"None",13380
"FHL2","FHL2",0.284383256728936,0.85,0.15,0.00422096252441406,0.0901256154297264,"None",13379
"F2RL1","F2RL1",0.282913114065084,0.8,0.2,0.00638961791992188,0.107771555582682,"None",13378
"CYP3A5","CYP3A5",0.280684085220292,0.75,0.25,0.00830841064453125,0.120570863996233,"None",13377
"C6orf222","C6orf222",0.280083574968017,0.85,0.15,0.000133514404296875,0.0232505798339844,"Up",13376
"RIOK3","RIOK3",0.27811515666044,0.9,0.1,9.5367431640625e-06,0.00983678377591647,"Up",13375
"TFF2","TFF2",0.27782909743018,0.75,0.25,0.189348220825195,0.502368479035426,"None",13374
"CLDN4","CLDN4",0.275713991377505,0.85,0.15,0.00120925903320312,0.0533386657112523,"None",13373
"LIPH","LIPH",0.274560360780153,0.85,0.15,0.000850677490234375,0.0478197976405029,"Up",13372
"ADM","ADM",0.274217147461791,0.85,0.15,0.00198554992675781,0.0645328276120457,"None",13371
"MUC6","MUC6",0.273489645494638,0.55,0.45,0.701181411743164,0.874292500470903,"None",13370
"PLAC8","PLAC8",0.273327628946365,0.7,0.3,0.00168991088867188,0.0619126095797846,"None",13369
"SPINK4","SPINK4",0.27002547802106,0.45,0.55,0.388376235961914,0.683430045671037,"None",13368
"FCGBP","FCGBP",0.267809574407151,0.4,0.6,0.812355041503906,0.92705265970433,"None",13367
"GADD45B","GADD45B",0.266906972865103,0.65,0.35,0.00485992431640625,0.0954124819307341,"None",13366
"SERTAD1","SERTAD1",0.264316779752093,0.95,0.05,0.000209808349609375,0.0281332015991211,"Up",13365
"NEAT1","NEAT1",0.263160718873984,0.75,0.25,0.0136165618896484,0.150896263122559,"None",13364
"SFN","SFN",0.262859042290969,0.7,0.3,0.00168991088867188,0.0619126095797846,"None",13363
"RASEF","RASEF",0.26153844376103,0.8,0.2,0.00485992431640625,0.0954124819307341,"None",13362
"TJP1","TJP1",0.259986926335694,0.95,0.05,0.000585556030273438,0.0394558834670177,"Up",13361
"SGMS2","SGMS2",0.257638493180285,0.7,0.3,0.00943565368652344,0.126989047670221,"None",13360
"FTH1","FTH1",0.256734374113755,0.75,0.25,0.00101661682128906,0.050675892032212,"None",13359
"ANXA1","ANXA1",0.256577561110819,0.8,0.2,0.0399894714355469,0.245409072072882,"None",13358
"MUC13","MUC13",0.256303689529372,0.7,0.3,0.021484375,0.183961675846105,"None",13357
"NR1D1","NR1D1",0.254993064242058,0.85,0.15,0.00101661682128906,0.050675892032212,"None",13356
"SERF2","SERF2",0.254046275891244,0.8,0.2,0.00198554992675781,0.0645328276120457,"None",13355
"WBP5","WBP5",0.253526697405706,0.8,0.2,0.000261306762695312,0.0299475417177901,"Up",13354
"SPAG9","SPAG9",0.251700866869146,0.8,0.2,0.123092651367188,0.413775222407274,"None",13353
"PLAUR","PLAUR",0.250371365635947,0.85,0.15,0.0153121948242188,0.158671731373995,"None",13352
"MXD1","MXD1",0.248674776730483,0.75,0.25,0.00120925903320312,0.0533386657112523,"None",13351
"LPP","LPP",0.248344858730394,0.9,0.1,0.00168991088867188,0.0619126095797846,"None",13350
"ISG20","ISG20",0.247597987867551,0.7,0.3,0.0484409332275391,0.269520528484677,"None",13349
"EZR","EZR",0.247453115577652,0.85,0.15,0.0153121948242188,0.158671731373995,"None",13348
"PPP1CB","PPP1CB",0.247318580773006,0.85,0.15,0.00485992431640625,0.0954124819307341,"None",13347
"CLDN3","CLDN3",0.245813016620911,0.7,0.3,0.00101661682128906,0.050675892032212,"None",13346
"PLK2","PLK2",0.245502214097329,0.8,0.2,0.000482559204101562,0.0365572676146771,"Up",13345
"TACSTD2","TACSTD2",0.245090912271189,0.75,0.25,0.00232505798339844,0.0686711508797129,"None",13344
"DUSP4","DUSP4",0.24366599612336,0.85,0.15,0.00729560852050781,0.113884533936542,"None",13343
"C15orf48","C15orf48",0.240162440890748,0.65,0.35,0.0239505767822266,0.191733303924105,"None",13342
"CHMP1B","CHMP1B",0.239142402742178,0.7,0.3,0.000482559204101562,0.0365572676146771,"Up",13341
"INSR","INSR",0.237310983212319,0.8,0.2,0.00485992431640625,0.0954124819307341,"None",13340
"F11R","F11R",0.236209503890846,0.9,0.1,0.00943565368652344,0.126989047670221,"None",13339
"ETS2","ETS2",0.233889457630559,0.7,0.3,0.0399894714355469,0.245409072072882,"None",13338
"KRT19","KRT19",0.233305857081086,0.75,0.25,0.00101661682128906,0.050675892032212,"None",13337
"MAFG","MAFG",0.231791057988732,0.8,0.2,0.00143241882324219,0.0573352358234462,"None",13336
"SOX9","SOX9",0.231226414501556,0.8,0.2,0.00729560852050781,0.113884533936542,"None",13335
"NET1","NET1",0.230331170743531,0.85,0.15,0.000209808349609375,0.0281332015991211,"Up",13334
"SDCBP2","SDCBP2",0.22877420884885,0.8,0.2,0.00830841064453125,0.120570863996233,"None",13333
"FXYD3","FXYD3",0.228449581738842,0.8,0.2,0.021484375,0.183961675846105,"None",13332
"ANXA11","ANXA11",0.225828907775733,0.65,0.35,0.153646469116211,0.459568481904812,"None",13331
"RP11-363E7.4","RP11-363E7.4",0.225145797578203,0.85,0.15,0.00315284729003906,0.0790215501161379,"None",13330
"SLC20A1","SLC20A1",0.223511549096624,0.7,0.3,0.0153121948242188,0.158671731373995,"None",13329
"YPEL5","YPEL5",0.222363182001744,0.7,0.3,1.9073486328125e-05,0.0150444928337546,"Up",13328
"TFF1","TFF1",0.222149848380512,0.7,0.3,0.069580078125,0.320508164746865,"None",13327
"TSPAN1","TSPAN1",0.221511330542924,0.65,0.35,0.00638961791992188,0.107771555582682,"None",13326
"TMC5","TMC5",0.2211436958617,0.7,0.3,0.0106887817382812,0.134452039707892,"None",13325
"SDCBP","SDCBP",0.22099091620122,0.8,0.2,0.00638961791992188,0.107771555582682,"None",13324
"CXCL2","CXCL2",0.220208832501836,0.6,0.4,0.000482559204101562,0.0365572676146771,"Up",13323
"RP11-138A9.2","RP11-138A9.2",0.219655925162659,0.95,0.05,8.20159912109375e-05,0.018639871629618,"Up",13322
"REG4","REG4",0.219500197030903,0.6,0.4,0.082550048828125,0.344618183292755,"None",13321
"KDM6B","KDM6B",0.218971851361269,0.7,0.3,0.0484409332275391,0.269520528484677,"None",13320
"TACC1","TACC1",0.215472972879181,0.85,0.15,0.021484375,0.183961675846105,"None",13319
"ANG","ANG",0.213138391105882,0.9,0.1,0.021484375,0.183961675846105,"None",13318
"AGR3","AGR3",0.21175641940883,0.65,0.35,0.0440540313720703,0.25750675966351,"None",13317
"NR1D2","NR1D2",0.210585366370588,0.9,0.1,0.000322341918945312,0.032744566599528,"Up",13316
"NDRG1","NDRG1",0.210327386460969,0.7,0.3,0.00120925903320312,0.0533386657112523,"None",13315
"DUSP10","DUSP10",0.209852683684278,0.85,0.15,0.00198554992675781,0.0645328276120457,"None",13314
"NDUFA4L2","NDUFA4L2",0.209666340016004,0.4,0.55,0.762675526524132,0.908453563939247,"None",13313
"C10orf10","C10orf10",0.209561829939206,0.8,0.2,0.00101661682128906,0.050675892032212,"None",13312
"EFNA1","EFNA1",0.209436812708222,0.75,0.25,0.00365447998046875,0.0837656787318042,"None",13311
"EDN1","EDN1",0.208528892626939,0.8,0.2,0.00101661682128906,0.050675892032212,"None",13310
"AKAP13","AKAP13",0.208013838544208,0.9,0.1,0.00485992431640625,0.0954124819307341,"None",13309
"HEXIM1","HEXIM1",0.206511590517915,0.7,0.3,0.026641845703125,0.201830796063957,"None",13308
"CTGF","CTGF",0.206373618097839,0.75,0.25,0.0192337036132812,0.17461390098205,"None",13307
"RP1-313I6.12","RP1-313I6.12",0.206053534278876,0.85,0.15,0.00365447998046875,0.0837656787318042,"None",13306
"TLE4","TLE4",0.205445482287443,0.8,0.2,0.0153121948242188,0.158671731373995,"None",13305
"RND3","RND3",0.205242338138698,0.75,0.25,0.00943565368652344,0.126989047670221,"None",13304
"FAM3D","FAM3D",0.203173051541421,0.6,0.4,0.142906188964844,0.443879797968402,"None",13303
"OCLN","OCLN",0.202620890693205,0.75,0.25,0.0440540313720703,0.25750675966351,"None",13302
"BCL10","BCL10",0.202560838791498,0.85,0.15,0.00729560852050781,0.113884533936542,"None",13301
"SSR4","SSR4",0.201608780118896,0.85,0.15,0.00143241882324219,0.0573352358234462,"None",13300
"C3orf52","C3orf52",0.200852677411515,0.8,0.2,0.00271224975585938,0.0728697991183494,"None",13299
"GPR110","GPR110",0.200558036062009,0.6,0.4,0.0637226104736328,0.306256804244065,"None",13298
"CLU","CLU",0.199218022455792,0.75,0.25,0.245487213134766,0.56020048347925,"None",13297
"SMIM22","SMIM22",0.198785112105411,0.85,0.15,0.00120925903320312,0.0533386657112523,"None",13296
"TSC22D2","TSC22D2",0.198661278685196,0.9,0.1,0.000585556030273438,0.0394558834670177,"Up",13295
"PI3","PI3",0.198552455208332,0.8,0.2,0.0295753479003906,0.209717525117048,"None",13294
"ZFAS1","ZFAS1",0.198466244738001,0.65,0.35,0.0399894714355469,0.245409072072882,"None",13293
"RHOF","RHOF",0.198276600558264,0.8,0.2,0.000482559204101562,0.0365572676146771,"Up",13292
"AREG","AREG",0.197131143849933,0.75,0.25,0.058258056640625,0.293787996048943,"None",13291
"C6orf132","C6orf132",0.196527445431935,0.7,0.3,0.0484409332275391,0.269520528484677,"None",13290
"RNF223","RNF223",0.196095655631157,0.95,0.05,0.000104904174804688,0.0213130315144857,"Up",13289
"RPAIN","RPAIN",0.19605044566152,0.9,0.1,0.021484375,0.183961675846105,"None",13288
"TP53INP2","TP53INP2",0.19574071454238,0.85,0.15,4.76837158203125e-05,0.018639871629618,"Up",13287
"SEPW1","SEPW1",0.19572227454499,0.8,0.2,0.00365447998046875,0.0837656787318042,"None",13286
"GSN","GSN",0.195454754846377,0.7,0.3,0.0484409332275391,0.269520528484677,"None",13285
"HEPACAM2","HEPACAM2",0.194081283412852,0.3,0.4,0.850618403625297,0.949624691883408,"None",13284
"TXNRD1","TXNRD1",0.194027859232039,0.8,0.2,0.000707626342773438,0.043326765434927,"Up",13283
"SLC25A25","SLC25A25",0.194002832339458,0.75,0.25,0.021484375,0.183961675846105,"None",13282
"IRS2","IRS2",0.193044259208554,0.85,0.15,0.00120925903320312,0.0533386657112523,"None",13281
"COQ10B","COQ10B",0.192212635778491,0.95,0.05,0.000482559204101562,0.0365572676146771,"Up",13280
"CLDN7","CLDN7",0.192150172970661,0.8,0.2,0.0120792388916016,0.141910202423233,"None",13279
"MUC5B","MUC5B",0.191018396192158,0.7,0.15,0.0015041765733473,0.0598501592641364,"None",13278
"CLDN18","CLDN18",0.189875336829403,0.6,0.4,0.142906188964844,0.443879797968402,"None",13277
"ITGB8","ITGB8",0.189554804380431,0.7,0.3,0.0399894714355469,0.245409072072882,"None",13276
"DPM2","DPM2",0.189284370080068,0.8,0.2,0.0192337036132812,0.17461390098205,"None",13275
"ARF4","ARF4",0.187543256919654,0.8,0.2,0.00365447998046875,0.0837656787318042,"None",13274
"C1orf106","C1orf106",0.186997668107104,0.85,0.15,0.00638961791992188,0.107771555582682,"None",13273
"RAB3IP","RAB3IP",0.185868965871955,0.95,0.05,6.29425048828125e-05,0.018639871629618,"Up",13272
"C4orf48","C4orf48",0.184529320724666,0.8,0.2,0.00558090209960938,0.102653383064008,"None",13271
"STK17A","STK17A",0.184064163931142,0.85,0.15,0.000850677490234375,0.0478197976405029,"Up",13270
"EIF4A2","EIF4A2",0.183938390908209,0.8,0.2,0.00143241882324219,0.0573352358234462,"None",13269
"PDP1","PDP1",0.183569528392684,0.8,0.2,0.000850677490234375,0.0478197976405029,"Up",13268
"DENND2C","DENND2C",0.18298277508009,0.75,0.25,3.62396240234375e-05,0.0179976710566768,"Up",13267
"UPP1","UPP1",0.182094363347747,0.75,0.25,0.058258056640625,0.293787996048943,"None",13266
"IL2RG","IL2RG",0.182021682967516,0.7,0.3,0.00315284729003906,0.0790215501161379,"None",13265
"SERPINA1","SERPINA1",0.181536979768992,0.65,0.35,0.0362339019775391,0.23397452354078,"None",13264
"OAF","OAF",0.18091959083874,0.7,0.3,0.0758514404296875,0.333367598766574,"None",13263
"TIMP1","TIMP1",0.180565265867332,0.75,0.25,0.0399894714355469,0.245409072072882,"None",13262
"EMP1","EMP1",0.17998821065565,0.65,0.35,0.164957046508789,0.473139271078972,"None",13261
"SELK","SELK",0.179719700122363,0.85,0.15,0.00365447998046875,0.0837656787318042,"None",13260
"MALAT1","MALAT1",0.17919011404723,0.6,0.4,0.0106887817382812,0.134452039707892,"None",13259
"DDIT3","DDIT3",0.178835943012778,0.6,0.4,0.0362339019775391,0.23397452354078,"None",13258
"CNKSR3","CNKSR3",0.178439712640196,0.8,0.2,0.000585556030273438,0.0394558834670177,"Up",13257
"INSIG1","INSIG1",0.178140975237068,0.65,0.35,0.164957046508789,0.473139271078972,"None",13256
"ARIH1","ARIH1",0.177623316101971,0.7,0.3,0.0440540313720703,0.25750675966351,"None",13255
"IGFBP3","IGFBP3",0.177401637240748,0.35,0.05,0.0208625823327655,0.183961675846105,"None",13254
"FTH1P10","FTH1P10",0.177348444299289,0.7,0.3,0.0153121948242188,0.158671731373995,"None",13253
"UBE2H","UBE2H",0.177232317218052,0.7,0.3,0.058258056640625,0.293787996048943,"None",13252
"SLC3A2","SLC3A2",0.176911338717484,0.6,0.4,0.0295753479003906,0.209717525117048,"None",13251
"GJB3","GJB3",0.176740172281806,0.8,0.2,0.000133514404296875,0.0232505798339844,"Up",13250
"ZNF165","ZNF165",0.176553168872845,0.85,0.15,0.00422096252441406,0.0901256154297264,"None",13249
"TRIM25","TRIM25",0.176118905629864,0.75,0.25,0.000394821166992188,0.0348299804486726,"Up",13248
"MEF2D","MEF2D",0.17592052506119,0.9,0.1,0.000585556030273438,0.0394558834670177,"Up",13247
"EFNB2","EFNB2",0.175885981821697,0.75,0.25,0.132726669311523,0.429161299444952,"None",13246
"RP11-138A9.1","RP11-138A9.1",0.175049756407183,0.85,0.15,0.00198554992675781,0.0645328276120457,"None",13245
"MYH14","MYH14",0.174726255688748,0.65,0.35,0.058258056640625,0.293787996048943,"None",13244
"RB1CC1","RB1CC1",0.174386541859826,0.7,0.3,0.0362339019775391,0.23397452354078,"None",13243
"MAPK6","MAPK6",0.173671433068858,0.9,0.1,0.00143241882324219,0.0573352358234462,"None",13242
"ZNF703","ZNF703",0.172792160008543,0.7,0.3,0.189348220825195,0.502368479035426,"None",13241
"FEM1C","FEM1C",0.172393660062251,0.9,0.1,0.00198554992675781,0.0645328276120457,"None",13240
"BCL2L1","BCL2L1",0.171786600003904,0.75,0.25,0.00830841064453125,0.120570863996233,"None",13239
"RNF39","RNF39",0.171577296916056,0.75,0.25,0.00365447998046875,0.0837656787318042,"None",13238
"TNFSF15","TNFSF15",0.1714349448621,0.95,0.05,0.000209808349609375,0.0281332015991211,"Up",13237
"MYL6","MYL6",0.170753322216991,0.75,0.25,0.000104904174804688,0.0213130315144857,"Up",13236
"STK17B","STK17B",0.170608713406927,0.75,0.25,0.00830841064453125,0.120570863996233,"None",13235
"DST","DST",0.17028876392563,0.6,0.4,0.00143241882324219,0.0573352358234462,"None",13234
"RNF19A","RNF19A",0.170259252265375,0.85,0.15,0.000104904174804688,0.0213130315144857,"Up",13233
"ARL5B","ARL5B",0.169846366496232,0.7,0.3,0.0327682495117188,0.223906763422573,"None",13232
"ERBB3","ERBB3",0.168048097858285,0.7,0.3,0.0399894714355469,0.245409072072882,"None",13231
"GPRC5A","GPRC5A",0.167576998707657,0.7,0.3,0.017181396484375,0.16646339989811,"None",13230
"FOSL1","FOSL1",0.167193036031309,0.75,0.25,0.0531692504882812,0.282915269760858,"None",13229
"B3GNT5","B3GNT5",0.165038895344154,0.8,0.2,0.00101661682128906,0.050675892032212,"None",13228
"PRSS22","PRSS22",0.16482757257236,0.85,0.15,0.00101661682128906,0.050675892032212,"None",13227
"TMEM106B","TMEM106B",0.164682609648765,0.65,0.35,0.202449798583984,0.517371707492404,"None",13226
"TM4SF1","TM4SF1",0.164646131184582,0.7,0.3,0.164957046508789,0.473139271078972,"None",13225
"SLC2A1","SLC2A1",0.164370723049748,0.5,0.5,0.153646469116211,0.459568481904812,"None",13224
"BIK","BIK",0.16433040740285,0.85,0.15,0.00943565368652344,0.126989047670221,"None",13223
"TCEAL8","TCEAL8",0.164329197843302,0.8,0.2,0.00315284729003906,0.0790215501161379,"None",13222
"PNPLA2","PNPLA2",0.164181145235735,0.75,0.25,0.00638961791992188,0.107771555582682,"None",13221
"RP11-680F8.4","RP11-680F8.4",0.164039703996633,0.7,0.3,0.474905014038086,0.743838492376673,"None",13220
"GALNT5","GALNT5",0.163727506813416,0.7,0.3,0.00729560852050781,0.113884533936542,"None",13219
"TNFRSF12A","TNFRSF12A",0.16367558904501,0.55,0.45,0.176853179931641,0.489458057730314,"None",13218
"PPDPF","PPDPF",0.163430808313495,0.7,0.3,0.082550048828125,0.344618183292755,"None",13217
"TM4SF5","TM4SF5",0.162273764346092,0.9,0.1,0.00638961791992188,0.107771555582682,"None",13216
"CXADR","CXADR",0.162217054252035,0.75,0.25,0.058258056640625,0.293787996048943,"None",13215
"JUP","JUP",0.162186590083573,0.7,0.3,0.0295753479003906,0.209717525117048,"None",13214
"AFF4","AFF4",0.162046210092711,0.85,0.15,0.0239505767822266,0.191733303924105,"None",13213
"MED29","MED29",0.161996444934367,0.7,0.3,0.082550048828125,0.344618183292755,"None",13212
"STX3","STX3",0.161801104544224,0.85,0.15,0.00485992431640625,0.0954124819307341,"None",13211
"FAM211A-AS1","FAM211A-AS1",0.161731649996409,0.8,0.2,0.0758514404296875,0.333367598766574,"None",13210
"ABRACL","ABRACL",0.161659634061239,0.7,0.3,0.0192337036132812,0.17461390098205,"None",13209
"PDGFA","PDGFA",0.161391281913328,0.8,0.2,0.0120792388916016,0.141910202423233,"None",13208
"TRIM31","TRIM31",0.161363950853132,0.7,0.3,0.0440540313720703,0.25750675966351,"None",13207
"NEDD9","NEDD9",0.161252766506731,0.7,0.3,0.0327682495117188,0.223906763422573,"None",13206
"TNFRSF10B","TNFRSF10B",0.161228255232557,0.8,0.2,0.105398178100586,0.38467179372639,"None",13205
"CCL15","CCL15",0.160904939931755,0.6,0.35,0.344306074987498,0.65378751986714,"None",13204
"BAIAP2","BAIAP2",0.160308490607968,0.7,0.3,0.0295753479003906,0.209717525117048,"None",13203
"PPP3CA","PPP3CA",0.160056689320529,0.75,0.25,0.105398178100586,0.38467179372639,"None",13202
"PRDM1","PRDM1",0.156621723442893,0.75,0.25,0.00101661682128906,0.050675892032212,"None",13201
"C19orf33","C19orf33",0.155244691344775,0.65,0.35,0.0153121948242188,0.158671731373995,"None",13200
"LAMTOR3","LAMTOR3",0.155091139956791,0.95,0.05,0.000322341918945312,0.032744566599528,"Up",13199
"RP11-540A21.2","RP11-540A21.2",0.15497479863349,0.95,0.05,0.00120925903320312,0.0533386657112523,"None",13198
"NR4A2","NR4A2",0.154551326589753,0.6,0.4,0.142906188964844,0.443879797968402,"None",13197
"LY6D","LY6D",0.154447067685395,0.3,0.1,0.042315274905714,0.25750675966351,"None",13196
"PVRL4","PVRL4",0.154409731654989,0.75,0.25,0.00365447998046875,0.0837656787318042,"None",13195
"CTA-293F17.1","CTA-293F17.1",0.153697587755932,0.9,0.1,0.00365447998046875,0.0837656787318042,"None",13194
"TPT1","TPT1",0.153692701873994,0.75,0.25,0.00315284729003906,0.0790215501161379,"None",13193
"LAMB3","LAMB3",0.153606664194736,0.65,0.35,0.0440540313720703,0.25750675966351,"None",13192
"IRX5","IRX5",0.153143476202278,0.75,0.25,0.026641845703125,0.201830796063957,"None",13191
"CCL28","CCL28",0.152518032159388,0.6,0.4,0.0531692504882812,0.282915269760858,"None",13190
"ANKRD10","ANKRD10",0.152514238438943,0.7,0.3,0.123092651367188,0.413775222407274,"None",13189
"EGR3","EGR3",0.152342017327664,0.6,0.4,0.277355194091797,0.590607558770352,"None",13188
"DPYSL2","DPYSL2",0.151838740334674,0.7,0.3,0.189348220825195,0.502368479035426,"None",13187
"CXCL16","CXCL16",0.15179096042536,0.7,0.3,0.202449798583984,0.517371707492404,"None",13186
"RP6-99M1.2","RP6-99M1.2",0.151627075473251,0.85,0.15,0.00271224975585938,0.0728697991183494,"None",13185
"ZNF430","ZNF430",0.151461765464752,0.85,0.15,0.00638961791992188,0.107771555582682,"None",13184
"FAM107B","FAM107B",0.150823684153928,0.7,0.3,0.0637226104736328,0.306256804244065,"None",13183
"SGK1","SGK1",0.150719359695695,0.85,0.15,0.00120925903320312,0.0533386657112523,"None",13182
"BMP2","BMP2",0.150076534004324,0.85,0.15,9.5367431640625e-06,0.00983678377591647,"Up",13181
"SDR16C5","SDR16C5",0.149980897707294,0.85,0.15,0.0440540313720703,0.25750675966351,"None",13180
"ITM2B","ITM2B",0.149148202209347,0.85,0.15,0.00638961791992188,0.107771555582682,"None",13179
"KLK1","KLK1",0.149118109940007,0.75,0.25,0.017181396484375,0.16646339989811,"None",13178
"EPS8","EPS8",0.148687212405116,0.75,0.25,0.0192337036132812,0.17461390098205,"None",13177
"MARCKS","MARCKS",0.148537784766292,0.65,0.35,0.0295753479003906,0.209717525117048,"None",13176
"ARL4A","ARL4A",0.148457212257054,0.65,0.35,0.0531692504882812,0.282915269760858,"None",13175
"ZSWIM6","ZSWIM6",0.148329655144589,0.7,0.3,0.017181396484375,0.16646339989811,"None",13174
"ATP5G2","ATP5G2",0.147513501662222,0.65,0.35,0.132726669311523,0.429161299444952,"None",13173
"ALKBH7","ALKBH7",0.147154813243439,0.65,0.35,0.277355194091797,0.590607558770352,"None",13172
"OAS1","OAS1",0.147060927611075,0.7,0.3,0.0362339019775391,0.23397452354078,"None",13171
"RIPK4","RIPK4",0.146558865446738,0.8,0.2,0.000482559204101562,0.0365572676146771,"Up",13170
"IRF2BP2","IRF2BP2",0.146460181551344,0.7,0.3,0.0362339019775391,0.23397452354078,"None",13169
"VPS37B","VPS37B",0.145398472425061,0.75,0.25,0.368276596069336,0.667507552945894,"None",13168
"TOMM7","TOMM7",0.145341980508413,0.7,0.3,0.0362339019775391,0.23397452354078,"None",13167
"UBL3","UBL3",0.145157857660063,0.75,0.25,0.0239505767822266,0.191733303924105,"None",13166
"RAB10","RAB10",0.144559320455468,0.7,0.3,0.00558090209960938,0.102653383064008,"None",13165
"DNAJB9","DNAJB9",0.143681927032576,0.85,0.15,0.000322341918945312,0.032744566599528,"Up",13164
"CPEB4","CPEB4",0.143671605523938,0.8,0.2,0.0192337036132812,0.17461390098205,"None",13163
"ARL14","ARL14",0.143302474687177,0.6,0.4,0.0362339019775391,0.23397452354078,"None",13162
"HBP1","HBP1",0.142966814760505,0.9,0.1,9.5367431640625e-06,0.00983678377591647,"Up",13161
"STK24","STK24",0.142811935660784,0.7,0.3,0.189348220825195,0.502368479035426,"None",13160
"TRAF4","TRAF4",0.142330938731032,0.7,0.3,0.0362339019775391,0.23397452354078,"None",13159
"REL","REL",0.142281090148066,0.7,0.3,0.216167449951172,0.532339639374704,"None",13158
"ATP5I","ATP5I",0.141630603208498,0.65,0.35,0.0192337036132812,0.17461390098205,"None",13157
"CYTH1","CYTH1",0.140852077127886,0.9,0.1,0.026641845703125,0.201830796063957,"None",13156
"ATP6V1G1","ATP6V1G1",0.140710395713028,0.8,0.2,0.0153121948242188,0.158671731373995,"None",13155
"BNIP3L","BNIP3L",0.140514136684868,0.7,0.3,0.0484409332275391,0.269520528484677,"None",13154
"FOXO3","FOXO3",0.140428648622,0.8,0.2,0.0106887817382812,0.134452039707892,"None",13153
"MT1X","MT1X",0.14037691455348,0.65,0.35,0.409097671508789,0.698509234583128,"None",13152
