"","Gene","Quiescence_avg_log2FC","Quiescence_Up_percent","Quiescence_Down_percent","Quiescence_wilcox","Quiescence_wilcox.adj","Type","Rank"
"CRTC3","CRTC3",-0.0919271052233119,0.25,0.75,0.0153121948242188,0.158671731373995,"None",1091
"NUP210","NUP210",-0.0920149038896556,0.2,0.8,0.00315284729003906,0.0790215501161379,"None",1090
"ESCO2","ESCO2",-0.0920825548765031,0.35,0.65,0.082550048828125,0.344618183292755,"None",1089
"SMAP1","SMAP1",-0.0920906044834565,0.25,0.75,0.164957046508789,0.473139271078972,"None",1088
"PUS7","PUS7",-0.0921127049376158,0.15,0.85,0.00120925903320312,0.0533386657112523,"None",1087
"UBE2J2","UBE2J2",-0.092119799609074,0.2,0.8,0.348810195922852,0.65378751986714,"None",1086
"MND1","MND1",-0.0921337308789531,0.35,0.65,0.132726669311523,0.429161299444952,"None",1085
"PDIA4","PDIA4",-0.0921401068768976,0.3,0.7,0.498008728027344,0.758840799331665,"None",1084
"TOMM70A","TOMM70A",-0.092210399601963,0.25,0.75,0.142906188964844,0.443879797968402,"None",1083
"PES1","PES1",-0.0922256832681882,0.3,0.7,0.0531692504882812,0.282915269760858,"None",1082
"CEACAM6","CEACAM6",-0.0922421670102985,0.45,0.55,0.812355041503906,0.92705265970433,"None",1081
"PSMB7","PSMB7",-0.0922825229453712,0.35,0.65,0.452375411987305,0.728024711874432,"None",1080
"GINS2","GINS2",-0.092423610958484,0.15,0.85,0.021484375,0.183961675846105,"None",1079
"MAPK9","MAPK9",-0.0924482544081146,0.15,0.85,0.0239505767822266,0.191733303924105,"None",1078
"PADI1","PADI1",-0.0924681904036433,0.3,0.7,0.422094811429734,0.713345663315609,"None",1077
"ACBD6","ACBD6",-0.0924740858728302,0.2,0.8,0.202449798583984,0.517371707492404,"None",1076
"ATE1","ATE1",-0.092479127427363,0.2,0.8,0.082550048828125,0.344618183292755,"None",1075
"SLC37A1","SLC37A1",-0.0926692653213945,0.25,0.75,0.0327682495117188,0.223906763422573,"None",1074
"CRLS1","CRLS1",-0.0927040153105827,0.25,0.75,0.153646469116211,0.459568481904812,"None",1073
"MFF","MFF",-0.0927712030858218,0.35,0.65,0.176853179931641,0.489458057730314,"None",1072
"LY75","LY75",-0.0927992880762809,0.25,0.75,0.00729560852050781,0.113884533936542,"None",1071
