"","Gene","Mode0_Mean","Mode1_Mean","Mode2_Mean","Mode3_Mean","Mode0_Percent","Mode1_Percent","Mode2_Percent","Mode3_Percent"
"GPR160","GPR160",-0.00541266680156212,0.123921381034956,-0.243526765207294,0.0133429091493192,0.5,0.705882352941177,0.714285714285714,0.4
"EEF1B2","EEF1B2",0.00422381628497569,0.279039453727918,-0.257474400730551,-0.201494514117884,0.55,0.882352941176471,1,0.8
"HMGN3","HMGN3",-0.220476782385779,0.374850097874816,0.238324158296398,0.253959365503812,0.9,0.823529411764706,0.785714285714286,0.6
"NSG1","NSG1",0.00193441884755138,0.0677475819120007,-0.000738740390997086,-0.173327501845168,0.05,0.352941176470588,0.285714285714286,1
"MAP2K6","MAP2K6",0.0576502960310862,0.0737581027347004,0.0376389581558602,-0.198289097007693,0.7,0.588235294117647,0.642857142857143,0.8
"DBR1","DBR1",-0.0328686608938058,0.0410458381288511,0.0801518297069207,-0.0101253216303233,0.7,0.588235294117647,0.928571428571429,0.6
"ELF3","ELF3",-0.0163859727124467,-0.239438205474178,-0.418838063195581,-0.154006378927389,0.55,0.588235294117647,0.714285714285714,0.6
"CAT","CAT",-0.0780018077299374,0.118884389094221,-0.0794521215838055,0.0298174178055106,0.65,0.647058823529412,0.785714285714286,0.6
"EIF3K","EIF3K",-0.0617912510192996,0.287896098465766,-0.226108088429048,0.0976582622040817,0.65,0.823529411764706,1,0.6
"ECH1","ECH1",0.0811848264468391,0.274860737885163,-0.235703937594828,0.0579917884929427,0.55,0.823529411764706,0.857142857142857,0.6
"PRDX4","PRDX4",-0.118059121413032,0.242683220320709,-0.168283915856364,0.218703705422553,0.65,0.764705882352941,0.785714285714286,0.8
"FAM134B","FAM134B",0.136180702882008,0.00309197948176706,0.137419760807598,-0.102948777567123,0.75,0.470588235294118,0.714285714285714,0.8
"TM9SF3","TM9SF3",-0.0437585814142547,-0.00327329004283704,0.0754102082925761,-0.161016790420413,0.55,0.529411764705882,0.642857142857143,0.8
"PRR4","PRR4",0.00287121065059079,0.0233956910862539,-0.0277882256912833,-0.304132334046117,0.35,0.411764705882353,0.5,1
"JTB","JTB",-0.096915608374283,0.183155123152851,0.0449375179019494,0.0991710904985527,0.7,0.764705882352941,0.571428571428571,0.4
"MAGED1","MAGED1",0.0602075540110106,0.0738027654456607,0.0300553203362783,-0.0481164252153306,0.55,0.705882352941177,0.5,0.6
"ATP5G1","ATP5G1",-0.186662595922294,0.563024139274029,-0.182803026341529,0.673832567580512,0.7,1,0.857142857142857,1
"COX11","COX11",-0.229781811131266,0.211183647194819,-0.055585119001119,0.0583347564082152,0.8,0.705882352941177,0.857142857142857,0.6
"SDCBP","SDCBP",0.22099091620122,0.133036888856192,-0.074662067766469,0.107864140026125,0.8,0.705882352941177,0.785714285714286,0.8
"PGM1","PGM1",-0.0705408108505709,0.112309962976187,-0.0773099943500144,-0.0951153221697596,0.75,0.647058823529412,0.785714285714286,0.6
"TMED3","TMED3",-0.007051285733983,0.116289267977323,0.0541564512217239,-0.0951883925178306,0.65,0.705882352941177,0.428571428571429,0.6
"CST3","CST3",0.324466405899164,0.0353558390408658,0.389100119334805,-0.0554043080483297,0.85,0.529411764705882,0.642857142857143,0.4
"PRDX3","PRDX3",-0.105223804017664,0.420974421553531,0.0880151890734655,0.283777453646207,0.65,0.764705882352941,0.714285714285714,1
"TCEAL8","TCEAL8",0.164329197843302,0.20468330849855,-0.0536043844570419,-0.208083105360286,0.8,0.882352941176471,0.571428571428571,0.8
"ATP5B","ATP5B",-0.160224126476135,0.173533623451801,-0.0445600792750537,0.195559368867004,0.7,0.647058823529412,0.642857142857143,1
"XBP1","XBP1",0.13710026868125,0.104774915291562,-0.25358708683669,-0.516004657314078,0.7,0.588235294117647,0.571428571428571,1
"TMED2","TMED2",0.000187538237948267,0.115674880223274,-0.106694013839813,0.338456633677164,0.45,0.588235294117647,0.785714285714286,0.8
"ALG5","ALG5",-0.149334318068956,0.0373783917293715,-0.0788270708700738,0.192985522899356,0.75,0.588235294117647,0.571428571428571,1
"MTHFD2","MTHFD2",0.038459698901716,0.138900904799251,0.115054504046877,0.110788083130293,0.45,0.764705882352941,0.785714285714286,0.6
"APIP","APIP",-0.127430614810838,0.15607129106135,0.0461435150915573,-0.0333049488353125,0.8,0.823529411764706,0.785714285714286,0.4
"ITM2C","ITM2C",-0.0317235296944664,0.0210589421700348,0.302403570914901,-0.234395297554392,0.6,0.647058823529412,0.571428571428571,1
"EEF2","EEF2",0.0601575105901635,0.187315391267373,-0.0158662809655088,-0.23863457951395,0.6,0.823529411764706,0.428571428571429,1
"ERGIC1","ERGIC1",-0.00637441518170609,0.0662922144779616,0.0327910873939024,-0.268315711909439,0.5,0.529411764705882,0.642857142857143,1
"PRDX2","PRDX2",0.0286541804324722,0.456157198831205,-0.218827761727091,0.161910413977956,0.5,0.941176470588235,0.928571428571429,1
"NPM1","NPM1",-0.0768317786282568,0.443160917530202,-0.0934640733293724,0.252123143793013,0.55,1,0.642857142857143,0.8
"EEF1A1","EEF1A1",0.108253178037259,-0.00800074654128295,0.183070557615339,-0.348598517450421,0.5,0.470588235294118,0.928571428571429,1
"C12orf57","C12orf57",0.0974653094993005,0.206661231003477,-0.114401218749494,-0.176290090573747,0.6,0.764705882352941,0.5,1
"IFI27L2","IFI27L2",-0.0120242202394165,0.0601269909747783,-0.120551398910823,0.0705617208409257,0.65,0.470588235294118,0.785714285714286,0.8
"DANCR","DANCR",0.0029144014479936,0.328822574214491,0.157351520658871,-0.0311605750258703,0.4,0.764705882352941,0.928571428571429,0.8
"CTD-2228K2.5","CTD-2228K2.5",-0.103507329358208,0.0198454476400094,-0.00616347483985534,-0.419357474136137,0.8,0.470588235294118,0.714285714285714,0.8
"UQCRB","UQCRB",0.0867080515057583,0.313135289200548,-0.15361024461962,0.27170624988185,0.65,0.882352941176471,0.785714285714286,1
"POLR2L","POLR2L",-0.0363530640781525,0.470693755305719,-0.0767987446910521,0.357676797604265,0.45,1,0.714285714285714,1
"GLUL","GLUL",0.139863150443755,0.0989648523486343,0.221584719752529,-0.318927301272979,0.8,0.647058823529412,0.785714285714286,1
"CTSH","CTSH",-0.134158792053053,-0.137304115634108,0.173704229180636,0.211792628562122,0.65,0.529411764705882,0.642857142857143,0.6
"DIRAS3","DIRAS3",-0.0180232855437292,-0.000877795430957585,0.00147093164651236,-0.104046187134067,0.4,0.705882352941177,0.428571428571429,0.6
"SNHG8","SNHG8",0.0928623098056444,0.180058877876222,-0.124221006074022,-0.428945675816451,0.65,0.764705882352941,0.785714285714286,0.8
"CCNG1","CCNG1",0.0156172581208433,0.209879544447984,-0.089643658573835,-0.084458917386432,0.5,1,0.714285714285714,0.6
"TMEM66","TMEM66",0.00786632394047901,-0.016451268328148,0.125573150276881,-0.00951447617150768,0.55,0.647058823529412,0.642857142857143,0.4
"NDUFB2","NDUFB2",-0.127715523475523,0.414889503031157,-0.0936802267562038,0.746530685057507,0.7,0.823529411764706,0.785714285714286,1
"NUCB1","NUCB1",0.0262143210194359,0.0018801560443559,0.212596262894527,0.0179889392693663,0.55,0.588235294117647,0.785714285714286,0.6
"CREB3L4","CREB3L4",0.000455536395481994,0.0476244087551043,-0.000591035452824214,-0.197877851758532,0.35,0.764705882352941,0.428571428571429,0.8
"EIF4B","EIF4B",0.0332908465429118,0.138052324206815,-0.0324518208853175,-0.25589799285254,0.65,0.705882352941177,0.428571428571429,1
"MDH2","MDH2",-0.173387168943242,0.203667819308868,-0.101589714840996,0.20744149634554,0.7,0.764705882352941,0.642857142857143,1
"RP11-425L10.1","RP11-425L10.1",0.0268088227431778,0.0498366187319071,-0.316137865069175,0.0400097240470789,0.55,0.588235294117647,0.928571428571429,1
"LDHB","LDHB",-0.0673958406875194,0.239788274706242,0.240383715223487,0.397318708573883,0.4,0.529411764705882,0.642857142857143,0.8
"CCNI","CCNI",0.0416086294491719,-0.17676354419971,-0.279360266924785,-0.656502614757907,0.65,0.588235294117647,0.857142857142857,1
"TMEM219","TMEM219",0.0479801039037452,0.192571894595996,0.00146635091961724,-0.0292401296809093,0.6,0.823529411764706,0.428571428571429,0.6
"SMDT1","SMDT1",0.0565666846750955,0.118151074994636,-0.331364655577241,-0.149934982090666,0.45,0.705882352941177,1,0.8
"TUBB2A","TUBB2A",0.0574921206686002,0.208429995430366,-0.288612900998298,-0.462187369849719,0.55,0.823529411764706,0.857142857142857,1
"GALNT3","GALNT3",0.110416526733439,0.0138200513886646,0.218996993376074,-0.16587862912356,0.75,0.411764705882353,0.785714285714286,1
"WFDC2","WFDC2",0.360461739603015,-0.264671659853311,0.395045897901976,-0.320301533858775,0.6,0.647058823529412,0.928571428571429,0.6
"NDUFS8","NDUFS8",-0.11154977274767,0.267229066183125,0.0973839193220853,0.254739357409618,0.75,0.882352941176471,0.5,0.8
"CD44","CD44",-0.0591729654027551,0.0666621947458482,0.631229413950016,-0.161130590465207,0.55,0.647058823529412,0.714285714285714,0.8
"KPNA2","KPNA2",-0.376032921244716,0.581803487630682,0.0928035392871658,0.282880109937125,0.85,0.882352941176471,0.642857142857143,1
"TRAPPC6A","TRAPPC6A",0.0231724829576623,0.231909491975315,-0.23281145951341,0.0138571994902287,0.55,0.705882352941177,0.714285714285714,0.8
"UQCRC2","UQCRC2",-0.0695739300909156,0.0872836446142697,-0.154414597177245,0.0577377367800349,0.6,0.705882352941177,0.857142857142857,0.6
"TAPBPL","TAPBPL",-0.0090533615093088,-0.000813948002978226,-0.0103622961143353,-0.120815840133987,0.55,0.588235294117647,0.5,0.8
"COX4I1","COX4I1",0.0106797343768903,0.169155025809504,-0.181825538578648,0.0276687071320688,0.5,0.764705882352941,0.857142857142857,0.6
"THBS2","THBS2",0.0172890022359713,0.0832033049407895,-0.00650157715395792,-0.0952400820969676,0.25,0.294117647058824,0.285714285714286,0.6
"AOC1","AOC1",0.0692863147696614,-0.0824015146713528,0.204885652103733,-0.0314651209918134,0.55,0.588235294117647,0.785714285714286,0.8
"ARF4","ARF4",0.187543256919654,-0.0648723679742659,0.00475991978476298,0.0673291263650338,0.8,0.529411764705882,0.5,0.8
"LAPTM4A","LAPTM4A",-0.0499051001316582,-0.166120123251873,-0.0162808853331884,0.287959600598819,0.65,0.705882352941177,0.714285714285714,0.8
"ECI2","ECI2",-0.0417255456663837,0.190025071170125,-0.111403755128833,0.01882478272579,0.7,0.882352941176471,1,0.4
"CHID1","CHID1",-0.00298620974798935,0.123518504359358,-0.0157539347286821,-0.0913954323019188,0.6,0.705882352941177,0.642857142857143,0.8
"LRIG1","LRIG1",-0.00964804371343597,0.0712459092041549,-0.0175390406056262,-0.26541285891048,0.7,0.764705882352941,0.785714285714286,0.8
"PPAP2C","PPAP2C",0.0540359693844616,0.168206362599336,0.100332457404055,0.223162069273658,0.65,0.823529411764706,0.642857142857143,1
"TMEM256","TMEM256",0.0636301374746124,0.0869256324871473,-0.37627000507577,0.0856159461033874,0.6,0.705882352941177,0.928571428571429,0.6
"CNPY2","CNPY2",-0.0131459995828332,0.051178875896272,0.665255740468319,-0.192586623630321,0.5,0.705882352941177,0.928571428571429,0.8
"PDIA3","PDIA3",-0.0588674364216644,-0.00441900618856184,0.242566092999702,0.26272718662642,0.45,0.411764705882353,0.714285714285714,1
"VSIG2","VSIG2",0.065901180613624,-0.162102278882901,0.0729967621851609,-0.219528048900675,0.7,0.588235294117647,0.357142857142857,0.8
"PHB","PHB",-0.11169956884077,0.360666209678275,-0.0162529005347199,0.311319855253991,0.7,0.882352941176471,0.642857142857143,1
"BTF3","BTF3",-0.00812668858653614,0.233172240826967,-0.374792248340518,0.033186459765737,0.55,0.823529411764706,1,0.6
"TMBIM4.1","TMBIM4.1",-0.0266102523443678,0.0739321729360848,-0.00259346232237662,0.294229320547466,0.6,0.470588235294118,0.5,0.8
"GPC3","GPC3",-0.00418773188481576,0.101191450361531,0.00913480035289318,-0.0925934143192727,0.65,0.705882352941177,0.571428571428571,0.4
